[2026-01-24 07:29:51 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-29 06:25:36 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-29 06:25:36 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-29 06:25:36 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-29 06:25:36 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-29 06:30:05 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-29 06:30:05 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-29 06:30:05 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-29 06:30:05 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-29 06:30:54 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-29 06:30:54 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-29 06:30:55 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-29 06:30:55 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-29 06:31:47 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
